Arts_Crafts_and_Sewing 	 Magazine_Subscriptions 	 0.09692887123845176
Arts_Crafts_and_Sewing 	 Movies_and_TV 	 0.05484899191420195
Arts_Crafts_and_Sewing 	 Musical_Instruments 	 0.19733009794748166
Arts_Crafts_and_Sewing 	 Office_Products 	 0.24166161669625785
Arts_Crafts_and_Sewing 	 Patio_Lawn_and_Garden 	 0.19811283649477288
Arts_Crafts_and_Sewing 	 Pet_Supplies 	 0.1857945266560408
Arts_Crafts_and_Sewing 	 Software 	 0.1189024050149728
Arts_Crafts_and_Sewing 	 Sports_and_Outdoors 	 0.21035841431530874
Arts_Crafts_and_Sewing 	 Subscription_Boxes 	 0.17374434463344332
Arts_Crafts_and_Sewing 	 Tools_and_Home_Improvement 	 0.21551107009073558
Arts_Crafts_and_Sewing 	 Toys_and_Games 	 0.2078626527968538
Arts_Crafts_and_Sewing 	 Video_Games 	 0.14379378915798244
